"variant_name","country_code","year_week","new_cases","number_deaths"
B.1.214.2,AT,"2020-14",3116,1828
B.1.526,AT,"2020-14",3116,1828
B.1.616,AT,"2020-14",3116,1828
B.1.617.3,AT,"2020-14",3116,1828
B.1.620,AT,"2020-14",3116,1828
B.1.640,AT,"2020-14",3116,1828
Beta,AT,"2020-14",9348,1828
C.1.2,AT,"2020-14",3116,1828
C.16,AT,"2020-14",3116,1828
C.36+L452R,AT,"2020-14",3116,1828
Delta,AT,"2020-14",18696,1828
Epsilon,AT,"2020-14",3116,1828
Eta,AT,"2020-14",3116,1828
Gamma,AT,"2020-14",6232,1828
Kappa,AT,"2020-14",3116,1828
Lambda,AT,"2020-14",3116,1828
Mu,AT,"2020-14",3116,1828
Omicron,AT,"2020-14",18696,1828
Other,AT,"2020-14",3116,1828
Theta,AT,"2020-14",3116,1828
UNK,AT,"2020-14",3116,1828
XD,AT,"2020-14",3116,1828
XF,AT,"2020-14",3116,1828
Zeta,AT,"2020-14",3116,1828
A.23.1+E484K,AT,"2020-15",1838,1793
A.27,AT,"2020-15",1838,1793
A.28,AT,"2020-15",1838,1793
Alpha,AT,"2020-15",7352,1793
AT.1,AT,"2020-15",1838,1793
AV.1,AT,"2020-15",1838,1793
B.1.1.318,AT,"2020-15",1838,1793
B.1.1.519,AT,"2020-15",1838,1793
B.1.214.2,AT,"2020-15",1838,1793
B.1.526,AT,"2020-15",1838,1793
B.1.616,AT,"2020-15",1838,1793
B.1.617.3,AT,"2020-15",1838,1793
B.1.620,AT,"2020-15",1838,1793
B.1.640,AT,"2020-15",1838,1793
Beta,AT,"2020-15",5514,1793
C.1.2,AT,"2020-15",1838,1793
C.16,AT,"2020-15",1838,1793
C.36+L452R,AT,"2020-15",1838,1793
Delta,AT,"2020-15",11028,1793
Epsilon,AT,"2020-15",1838,1793
Eta,AT,"2020-15",1838,1793
Gamma,AT,"2020-15",3676,1793
Kappa,AT,"2020-15",1838,1793
Lambda,AT,"2020-15",1838,1793
Mu,AT,"2020-15",1838,1793
Omicron,AT,"2020-15",11028,1793
Other,AT,"2020-15",1838,1793
Theta,AT,"2020-15",1838,1793
UNK,AT,"2020-15",1838,1793
XD,AT,"2020-15",1838,1793
XF,AT,"2020-15",1838,1793
Zeta,AT,"2020-15",1838,1793
A.23.1+E484K,AT,"2020-16",684,1704
A.27,AT,"2020-16",684,1704
A.28,AT,"2020-16",684,1704
Alpha,AT,"2020-16",2736,1704
AT.1,AT,"2020-16",684,1704
AV.1,AT,"2020-16",684,1704
B.1.1.318,AT,"2020-16",684,1704
B.1.1.519,AT,"2020-16",684,1704
B.1.214.2,AT,"2020-16",684,1704
B.1.526,AT,"2020-16",684,1704
B.1.616,AT,"2020-16",684,1704
B.1.617.3,AT,"2020-16",684,1704
B.1.620,AT,"2020-16",684,1704
B.1.640,AT,"2020-16",684,1704
Beta,AT,"2020-16",2052,1704
C.1.2,AT,"2020-16",684,1704
C.16,AT,"2020-16",684,1704
C.36+L452R,AT,"2020-16",684,1704
Delta,AT,"2020-16",4104,1704
Epsilon,AT,"2020-16",684,1704
Eta,AT,"2020-16",684,1704
Gamma,AT,"2020-16",1368,1704
Kappa,AT,"2020-16",684,1704
Lambda,AT,"2020-16",684,1704
Mu,AT,"2020-16",684,1704
Omicron,AT,"2020-16",4104,1704
Other,AT,"2020-16",684,1704
Theta,AT,"2020-16",684,1704
UNK,AT,"2020-16",684,1704
XD,AT,"2020-16",684,1704
XF,AT,"2020-16",684,1704
Zeta,AT,"2020-16",684,1704
A.23.1+E484K,AT,"2020-17",448,1588
A.27,AT,"2020-17",448,1588
A.28,AT,"2020-17",448,1588
Alpha,AT,"2020-17",1792,1588
AT.1,AT,"2020-17",448,1588
AV.1,AT,"2020-17",448,1588
B.1.1.318,AT,"2020-17",448,1588
B.1.1.519,AT,"2020-17",448,1588
B.1.214.2,AT,"2020-17",448,1588
B.1.526,AT,"2020-17",448,1588
B.1.616,AT,"2020-17",448,1588
B.1.617.3,AT,"2020-17",448,1588
B.1.620,AT,"2020-17",448,1588
B.1.640,AT,"2020-17",448,1588
Beta,AT,"2020-17",1344,1588
